N,method,kw_p_value,significant,num_fairness_groups,posthoc,sample_sizes
50,BS,0.7788007830714049,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
50,DC,0.7788007830714049,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
50,GA,0.8521437889662082,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
50,RC,0.8105842459701864,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
100,BS,0.7788007830714049,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
100,DC,0.7788007830714049,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
100,GA,0.9607894391523241,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
100,RC,0.6505090947233145,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
500,BS,0.697676326071029,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
500,DC,0.006805664492230557,True,3,"{'gini': {'gini': 1.0, 'jain': 0.0070841788880239695, 'maxmin': 0.07095484996606793}, 'jain': {'gini': 0.0070841788880239695, 'jain': 1.0, 'maxmin': 1.0}, 'maxmin': {'gini': 0.07095484996606793, 'jain': 1.0, 'maxmin': 1.0}}","{'jain': 5, 'maxmin': 5, 'gini': 5}"
500,GA,0.33621649370673345,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
500,RC,0.009186686156244689,True,3,"{'gini': {'gini': 1.0, 'jain': 0.02162871229422759, 'maxmin': 0.026666909831742844}, 'jain': {'gini': 0.02162871229422759, 'jain': 1.0, 'maxmin': 1.0}, 'maxmin': {'gini': 0.026666909831742844, 'jain': 1.0, 'maxmin': 1.0}}","{'jain': 5, 'maxmin': 5, 'gini': 5}"
1000,BS,0.697676326071029,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
1000,DC,0.007521422474993261,True,3,"{'gini': {'gini': 1.0, 'jain': 0.008938399968998954, 'maxmin': 0.05887324492991912}, 'jain': {'gini': 0.008938399968998954, 'jain': 1.0, 'maxmin': 1.0}, 'maxmin': {'gini': 0.05887324492991912, 'jain': 1.0, 'maxmin': 1.0}}","{'jain': 5, 'maxmin': 5, 'gini': 5}"
1000,GA,0.40252422403363597,False,3,,"{'jain': 5, 'maxmin': 5, 'gini': 5}"
1000,RC,0.007521422474993261,True,3,"{'gini': {'gini': 1.0, 'jain': 0.008938399968998954, 'maxmin': 0.05887324492991912}, 'jain': {'gini': 0.008938399968998954, 'jain': 1.0, 'maxmin': 1.0}, 'maxmin': {'gini': 0.05887324492991912, 'jain': 1.0, 'maxmin': 1.0}}","{'jain': 5, 'maxmin': 5, 'gini': 5}"
