path,N,method,duration,objective
"../instances/50/test/instance55_nreq50_nveh2_gamma40.txt",50,DC,0.436614,1600.62
"../instances/50/test/instance55_nreq50_nveh2_gamma40.txt",50,RC,1.39889,1719.31
"../instances/50/test/instance55_nreq50_nveh2_gamma40.txt",50,BS,8.39981,1362.91
"../instances/50/test/instance55_nreq50_nveh2_gamma40.txt",50,VND,98.939,1029.88
"../instances/50/test/instance55_nreq50_nveh2_gamma40.txt",50,SA,0.69061,1600.62
"../instances/50/test/instance55_nreq50_nveh2_gamma40.txt",50,LN,5927.93,1172.23
"../instances/50/test/instance55_nreq50_nveh2_gamma40.txt",50,GA,3346.39,1174.22
"../instances/50/test/instance47_nreq50_nveh2_gamma42.txt",50,DC,0.504812,1443.26
"../instances/50/test/instance47_nreq50_nveh2_gamma42.txt",50,RC,0.584012,1607.12
"../instances/50/test/instance47_nreq50_nveh2_gamma42.txt",50,BS,31.4362,1377.87
"../instances/50/test/instance47_nreq50_nveh2_gamma42.txt",50,VND,58.7863,975.642
"../instances/50/test/instance47_nreq50_nveh2_gamma42.txt",50,SA,0.029239,1427.27
"../instances/50/test/instance47_nreq50_nveh2_gamma42.txt",50,LN,6169.17,1145
"../instances/50/test/instance47_nreq50_nveh2_gamma42.txt",50,GA,3306.58,1124.93
"../instances/50/test/instance38_nreq50_nveh2_gamma43.txt",50,DC,0.528013,1423.3
"../instances/50/test/instance38_nreq50_nveh2_gamma43.txt",50,RC,22.6519,1795.5
"../instances/50/test/instance38_nreq50_nveh2_gamma43.txt",50,BS,3.02396,1379.15
"../instances/50/test/instance38_nreq50_nveh2_gamma43.txt",50,VND,117.033,941.899
"../instances/50/test/instance38_nreq50_nveh2_gamma43.txt",50,SA,0.061579,1404.07
"../instances/50/test/instance38_nreq50_nveh2_gamma43.txt",50,LN,6598.83,1280.2
"../instances/50/test/instance38_nreq50_nveh2_gamma43.txt",50,GA,3472.12,1224.12
"../instances/50/test/instance50_nreq50_nveh2_gamma43.txt",50,DC,0.550421,1406.81
"../instances/50/test/instance50_nreq50_nveh2_gamma43.txt",50,RC,1.38882,1644.85
"../instances/50/test/instance50_nreq50_nveh2_gamma43.txt",50,BS,7.83068,1248.56
"../instances/50/test/instance50_nreq50_nveh2_gamma43.txt",50,VND,48.5759,1056.32
"../instances/50/test/instance50_nreq50_nveh2_gamma43.txt",50,SA,0.67066,1406.81
"../instances/50/test/instance50_nreq50_nveh2_gamma43.txt",50,LN,6561.52,1057.77
"../instances/50/test/instance50_nreq50_nveh2_gamma43.txt",50,GA,3646.52,1072.67
"../instances/50/test/instance44_nreq50_nveh2_gamma41.txt",50,DC,0.498693,1442.13
"../instances/50/test/instance44_nreq50_nveh2_gamma41.txt",50,RC,24.3047,1513.97
"../instances/50/test/instance44_nreq50_nveh2_gamma41.txt",50,BS,12.0062,1366.02
"../instances/50/test/instance44_nreq50_nveh2_gamma41.txt",50,VND,112.497,919.704
"../instances/50/test/instance44_nreq50_nveh2_gamma41.txt",50,SA,0.148018,1442.09
"../instances/50/test/instance44_nreq50_nveh2_gamma41.txt",50,LN,6800.89,1178.5
"../instances/50/test/instance44_nreq50_nveh2_gamma41.txt",50,GA,3740.76,1018.44
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,DC,0.622471,1474.88
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,RC,0.585011,1600.11
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,BS,7.73491,1329.28
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,VND,53.5027,903.311
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,SA,0.569631,1474.88
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,LN,6721.09,1174.43
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,GA,4246.09,1100.16
"../instances/50/test/instance42_nreq50_nveh2_gamma44.txt",50,DC,0.512152,1575.2
"../instances/50/test/instance42_nreq50_nveh2_gamma44.txt",50,RC,1.05375,1905.65
"../instances/50/test/instance42_nreq50_nveh2_gamma44.txt",50,BS,56.6437,1518.75
"../instances/50/test/instance42_nreq50_nveh2_gamma44.txt",50,VND,107.263,1102.61
"../instances/50/test/instance42_nreq50_nveh2_gamma44.txt",50,SA,0.597132,1575.2
"../instances/50/test/instance42_nreq50_nveh2_gamma44.txt",50,LN,6931.76,1221.81
"../instances/50/test/instance42_nreq50_nveh2_gamma44.txt",50,GA,4034.74,1186.15
"../instances/50/test/instance59_nreq50_nveh2_gamma45.txt",50,DC,0.576611,1612.11
"../instances/50/test/instance59_nreq50_nveh2_gamma45.txt",50,RC,1.14814,1728.65
"../instances/50/test/instance59_nreq50_nveh2_gamma45.txt",50,BS,19.6987,1478.34
"../instances/50/test/instance59_nreq50_nveh2_gamma45.txt",50,VND,139.212,1152.95
"../instances/50/test/instance59_nreq50_nveh2_gamma45.txt",50,SA,0.622601,1612.11
"../instances/50/test/instance59_nreq50_nveh2_gamma45.txt",50,LN,7122.88,1274.02
