path,N,method,duration,objective,fairness,min,max,mean,std
../instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,DC ,0.449608,1822.78,jain,2,42,22,28.2843
../instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,RC,0.665746,1727.83,jain,2,42,22,28.2843
../instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,BS,4.6602,1498.84,jain,22,22,22,0
../instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,GA,2531.39,1178,jain,19,25,22,4.24264
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,DC ,0.505337,1644.37,jain,1,44,22.5,30.4056
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,RC,0.592297,1764.4,jain,1,44,22.5,30.4056
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,BS,6.42852,1468.83,jain,22,23,22.5,0.707107
../instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,GA,3088.15,1226.12,jain,21,24,22.5,2.12132
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,DC ,0.449427,1575.2,jain,2,42,22,28.2843
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,RC,0.532657,1863.74,jain,2,42,22,28.2843
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,BS,4.48516,1409.1,jain,22,22,22,0
../instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,GA,3128.28,1196.46,jain,6,38,22,22.6274
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,DC ,0.512977,1533.41,jain,2,43,22.5,28.9914
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,RC,0.555277,1889.83,jain,2,43,22.5,28.9914
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,BS,6.27794,1411.44,jain,22,23,22.5,0.707107
../instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,GA,3281.83,1204.82,jain,15,30,22.5,10.6066
../instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,DC ,0.454737,1273.84,jain,1,44,22.5,30.4056
