path,N,method,fairness_opt,fairness_eval,duration,objective,min,max,mean,std
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,jain,jain,740.409,1222.64,21,25,23,2.82843
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,jain,maxmin,740.409,1230.77,21,25,23,2.82843
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,jain,gini,740.409,1227.13,21,25,23,2.82843
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,maxmin,jain,934.834,1331.95,4,42,23,26.8701
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,maxmin,maxmin,934.834,1344.8,4,42,23,26.8701
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,maxmin,gini,934.834,1341.65,4,42,23,26.8701
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,gini,jain,908.428,1248.29,6,40,23,24.0416
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,gini,maxmin,908.428,1260.84,6,40,23,24.0416
"../instances/50/test/instance40_nreq50_nveh2_gamma46.txt",50,GA,gini,gini,908.428,1256.89,6,40,23,24.0416
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,GA,jain,jain,752.211,1152.5,12,30,21,12.7279
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,GA,jain,maxmin,752.211,1158.7,12,30,21,12.7279
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,GA,jain,gini,752.211,1156.24,12,30,21,12.7279
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,GA,maxmin,jain,697.16,1113.08,19,23,21,2.82843
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,GA,maxmin,maxmin,697.16,1115.03,19,23,21,2.82843
"../instances/50/test/instance45_nreq50_nveh2_gamma42.txt",50,GA,maxmin,gini,697.16,1114.09,19,23,21,2.82843
