path,N,method,fairness_opt,fairness_eval,duration,objective,min,max,mean,std
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,jain,jain,5254.66,8985.2,22,63,43.5,18.1567
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,jain,maxmin,5254.66,9151.23,22,63,43.5,18.1567
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,jain,gini,5254.66,9206.23,22,63,43.5,18.1567
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,maxmin,jain,5818.31,9228.9,22,81,43.5,27.1846
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,maxmin,maxmin,5818.31,9382.08,22,81,43.5,27.1846
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,maxmin,gini,5818.31,9454.8,22,81,43.5,27.1846
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,gini,jain,4914.58,9197.5,34,62,43.75,12.7639
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,gini,maxmin,4914.58,9304.19,34,62,43.75,12.7639
"../instances/200/test/instance52_nreq200_nveh4_gamma174.txt",200,GA,gini,gini,4914.58,9306.93,34,62,43.75,12.7639
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,jain,jain,6254.1,10216.3,22,64,47.75,19.6023
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,jain,maxmin,6254.1,10399.2,22,64,47.75,19.6023
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,jain,gini,6254.1,10449.9,22,64,47.75,19.6023
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,maxmin,jain,7480.02,10282.5,14,83,47.75,38.4307
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,maxmin,maxmin,7480.02,10462,14,83,47.75,38.4307
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,maxmin,gini,7480.02,10649.7,14,83,47.75,38.4307
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,gini,jain,5959.39,10693.6,33,59,47.75,11.7011
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,gini,maxmin,5959.39,10816.2,33,59,47.75,11.7011
"../instances/200/test/instance37_nreq200_nveh4_gamma191.txt",200,GA,gini,gini,5959.39,10831.6,33,59,47.75,11.7011
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,jain,jain,5781.09,9681.6,29,63,46.25,14.3614
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,jain,maxmin,5781.09,9892.63,29,63,46.25,14.3614
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,jain,gini,5781.09,9890,29,63,46.25,14.3614
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,maxmin,jain,6322.9,9626.83,21,75,46,26.5957
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,maxmin,maxmin,6322.9,9872.9,21,75,46,26.5957
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,maxmin,gini,6322.9,10006,21,75,46,26.5957
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,gini,jain,5492.36,9585.2,31,62,46,15.7692
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,gini,maxmin,5492.36,9764.33,31,62,46,15.7692
"../instances/200/test/instance32_nreq200_nveh4_gamma184.txt",200,GA,gini,gini,5492.36,9807.68,31,62,46,15.7692
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,jain,jain,6352.59,9760.68,15,72,44.5,28.688
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,jain,maxmin,6352.59,10053.8,15,72,44.5,28.688
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,jain,gini,6352.59,10210.3,15,72,44.5,28.688
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,maxmin,jain,5229.62,9700.17,31,56,44.5,11.9583
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,maxmin,maxmin,5229.62,9893.25,31,56,44.5,11.9583
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,maxmin,gini,5229.62,9901.74,31,56,44.5,11.9583
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,gini,jain,4916.8,9676.95,39,52,44.5,5.56776
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,gini,maxmin,4916.8,9758.45,39,52,44.5,5.56776
"../instances/200/test/instance46_nreq200_nveh4_gamma178.txt",200,GA,gini,gini,4916.8,9749.25,39,52,44.5,5.56776
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,jain,jain,6977.26,10875.5,19,88,49,28.7866
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,jain,maxmin,6977.26,11064,19,88,49,28.7866
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,jain,gini,6977.26,11100.4,19,88,49,28.7866
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,maxmin,jain,6499.73,10986.1,31,74,49,21.1187
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,maxmin,maxmin,6499.73,11112.2,31,74,49,21.1187
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,maxmin,gini,6499.73,11152.6,31,74,49,21.1187
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,gini,jain,5813.49,10596.4,40,63,49,10.8012
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,gini,maxmin,5813.49,10690.5,40,63,49,10.8012
"../instances/200/test/instance41_nreq200_nveh4_gamma196.txt",200,GA,gini,gini,5813.49,10693,40,63,49,10.8012
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,jain,jain,18393.5,40135.4,2,76,47.2,26.5112
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,jain,maxmin,18393.5,41569.7,2,76,47.2,26.5112
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,jain,gini,18393.5,44685.7,2,76,47.2,26.5112
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,maxmin,jain,17709.1,40035,15,86,47.2,25.9092
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,maxmin,maxmin,17709.1,41141.6,15,86,47.2,25.9092
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,maxmin,gini,17709.1,44916.7,15,86,47.2,25.9092
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,gini,jain,14003.9,40947.7,43,52,47.2,2.48551
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,gini,maxmin,14003.9,41304.5,43,52,47.2,2.48551
"../instances/500/test/instance35_nreq500_nveh10_gamma472.txt",500,GA,gini,gini,14003.9,41519.6,43,52,47.2,2.48551
