path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,0.1,25742.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,0.2,26916.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,0.3,27111.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,0.6,26184.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,0.7,26179.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,0.8,25755.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,0.9,25117.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance44_nreq200_nveh4_gamma183.txt,1,25093.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,0.1,27187.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,0.2,27331.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,0.3,29177.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,0.6,27285.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,0.7,25828.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,0.8,26979.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,0.9,26778.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance35_nreq200_nveh4_gamma183.txt,1,25568.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,0.1,25329.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,0.2,24724.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,0.3,25270.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,0.6,23064.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,0.7,23789.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,0.8,23623.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,0.9,23160.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance43_nreq200_nveh4_gamma167.txt,1,23827
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,0.1,25697.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,0.2,26278.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,0.3,27696.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,0.6,25253.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,0.7,25647.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,0.8,24152.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,0.9,24563.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance59_nreq200_nveh4_gamma170.txt,1,24155.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,0.1,26586.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,0.2,26736.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,0.3,26987.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,0.6,25225.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,0.7,24785.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,0.8,24320.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,0.9,23899.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance52_nreq200_nveh4_gamma174.txt,1,25390.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,0.1,26003.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,0.2,25573.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,0.3,25252.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,0.6,24736.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,0.7,24905.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,0.8,24649.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,0.9,24035.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance51_nreq200_nveh4_gamma172.txt,1,24086.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.1,25302.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.2,26174.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.3,26013.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.6,23270.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.7,23861
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.8,23441.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,0.9,23945.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance57_nreq200_nveh4_gamma172.txt,1,23830.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.1,24954.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.2,25416.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.3,26005.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.6,25029.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.7,25535.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.8,24756.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,0.9,24105.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance55_nreq200_nveh4_gamma172.txt,1,23955.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.1,27723.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.2,27647.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.3,27210.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.6,26610.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.7,26033.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.8,25904
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,0.9,26393.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,1,25276.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.1,25386.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.2,26111.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.3,26056.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.6,24203.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.7,23683.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.8,23058.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,0.9,23698.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance50_nreq200_nveh4_gamma170.txt,1,23454.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.1,26993.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.2,27891.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.3,27547.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.6,26797.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.7,26994.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.8,25831.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,0.9,25638.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance47_nreq200_nveh4_gamma184.txt,1,26021.5
