path,N,lamda,objective
/home/chris/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.01,3007.52
/home/chris/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.03,3117.53
/home/chris/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.05,2506.29
/home/chris/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.07,2308.19
/home/chris/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.1,2217.17
/home/chris/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.15,2069.03
/home/chris/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.2,1789.84
/home/chris/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.01,3371.26
/home/chris/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.03,2906.99
/home/chris/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.05,2910.73
/home/chris/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.07,2747.64
/home/chris/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.1,2475.38
/home/chris/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.15,2128.12
/home/chris/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.2,2255.12
/home/chris/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.01,3786.69
/home/chris/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.03,3384.5
/home/chris/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.05,2849.2
/home/chris/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.07,2787.11
/home/chris/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.1,2340.79
/home/chris/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.15,2079.49
/home/chris/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,0.2,1794.06
/home/chris/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.01,3327.79
/home/chris/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.03,3208.83
/home/chris/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.05,2688.61
/home/chris/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.07,2641.26
/home/chris/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.1,2335.41
/home/chris/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.15,2218.32
/home/chris/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.2,1924.07
/home/chris/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.01,3760.95
/home/chris/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.03,3524
/home/chris/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.05,2886.79
/home/chris/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.07,2441.54
/home/chris/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.1,2472.56
/home/chris/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.15,2052.22
/home/chris/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.2,2013.18
/home/chris/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.01,3104.33
/home/chris/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.03,3030.29
/home/chris/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.05,2982.27
/home/chris/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.07,2457.96
/home/chris/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.1,2309.85
/home/chris/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.15,2021.57
/home/chris/Desktop/heuristics/instances/50/test/instance32_nreq50_nveh2_gamma45.txt,50,0.2,2114.67
/home/chris/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,0.01,3599.23
/home/chris/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,0.03,3340.18
/home/chris/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,0.05,2732.99
/home/chris/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,0.07,2818.02
/home/chris/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,0.1,2367.83
/home/chris/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,0.15,2227.76
/home/chris/Desktop/heuristics/instances/50/test/instance31_nreq50_nveh2_gamma50.txt,50,0.2,2054.65
/home/chris/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.01,3647.28
/home/chris/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.03,3005.09
/home/chris/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.05,2804.01
/home/chris/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.07,2501.87
/home/chris/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.1,2225.71
/home/chris/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.15,2065.59
/home/chris/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.2,1921.47
/home/chris/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.01,3522.54
/home/chris/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.03,2926.4
/home/chris/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.05,2784.35
/home/chris/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.07,2770.2
/home/chris/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.1,2373.2
/home/chris/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.15,2171.1
/home/chris/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.2,1897.7
/home/chris/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.01,3563.29
/home/chris/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.03,3171.05
