path,N,alpha,beam_width,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,1,975.164
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,1,954.26
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,1,987.406
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,1,980.184
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,1,940.432
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,1,992.37
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,1,944.092
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,1,997.747
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,1,1032.63
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,1,1005.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,2,923.349
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,2,971.055
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,2,883
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,2,960.313
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,2,902.332
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,2,895.025
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,2,815.078
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,2,985.026
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,2,811.398
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,2,869.102
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,3,891.608
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,3,938.698
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,3,943.121
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,3,862.152
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,3,972.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,3,861.886
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,3,914.836
