path,N,initial,small_rho,high_rho,small_gamma,high_gamma
,50,1487.49,1475,1828.63,79.102,1828.63
,50,1321.52,1315,1701.16,104.723,1701.16
,50,1663.33,1652,2059.49,81.2062,2059.49
,50,1625.25,1614,2047.54,114.149,2047.54
,50,1378.4,1360,1754.61,106.358,1754.61
,50,1530.28,1508,1849.51,90.1286,1849.51
,50,1450.44,1425,1796.26,171.23,1796.26
,50,1558.69,1533,1920.37,113.866,1920.37
,50,1457.51,1443,1853.84,154.148,1853.84
,50,1574.37,1557,2001.58,103.918,2001.58
,100,4362.7,4339,4793.8,142.809,4793.8
,100,3924.04,3901,4325.3,234.099,4325.3
,100,3839.7,3825,4241.41,192.244,4241.41
,100,3904.78,3874,4296.27,186.687,4296.27
,100,3846.84,3821,4278.51,217.43,4278.51
,100,3507.24,3492,3947.83,138.688,3947.83
,100,4110.42,4095,4555.98,131.432,4555.98
,100,4031.21,4004,4459.21,141.461,4459.21
,100,3876.7,3865,4315.99,185.001,4315.99
,100,4182.11,4160,4623.16,193.558,4623.16
,200,10617.2,10469,10929.3,576.586,10929.3
,200,10506.4,10332,10782.6,527.572,10782.6
,200,10830.4,10724,11202.2,475.442,11202.2
,200,12509.3,12350,12823.1,334.34,12823.1
,200,10437.9,10232,10714.8,448.69,10714.8
,200,11326.9,11141,11605,595.748,11605
,200,11797.5,11760,12229.7,426.664,12229.7
,200,11809.4,11653,12117.6,541.256,12117.6
,200,11879.4,11697,12177.3,587.473,12177.3
,200,11231.9,11068,11520,493.482,11520
,500,42373.3,41324,41821,1938.03,41821
,500,44691.9,43990,44482.5,2281.36,44482.5
,500,42257.2,41279,41768.6,2086.72,41768.6
,500,40628.6,39537,40027.7,2076.4,40027.7
,500,44133.5,43196,43686.7,2039.15,43686.7
,500,39502.2,38664,39150.2,1943.89,39150.2
,500,43645.1,42795,43284.9,1979.09,43284.9
,500,42584.3,41881,42374.9,2080.08,42374.9
,500,44203.9,43447,43950,1669.61,43950
,500,41682.7,40609,41092.5,2180.49,41092.5
,1000,120802,117731,118226,5977.89,118226
,1000,123507,120293,120790,5488.16,120790
,1000,117949,114587,115080,5484.45,115080
,1000,113947,110542,111038,5632.32,111038
,1000,108120,105304,105799,5629.07,105799
,1000,116974,113856,114354,5796.38,114354
,1000,115913,112835,113333,5494.89,113333
,1000,122189,119356,119854,5006.81,119854
,1000,126980,124178,124677,5995.12,124677
,1000,114575,111341,111841,5306.72,111841
