path,N,lamda,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.01,3252.83
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.03,2995.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.05,2662.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.07,2620.19
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,2186.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.15,2068.29
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,2040.23
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.01,2480.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.03,2483.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.05,2304.89
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.07,2251.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,1891.47
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.15,1901.48
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,1764.29
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.01,2969.17
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.03,2850.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.05,2394.8
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.07,2179.61
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.1,1690.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.15,1720.02
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance51_nreq50_nveh2_gamma45.txt,50,0.2,1569.75
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.01,3128.79
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.03,2548.25
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.05,2448.91
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.07,2319.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.1,2067.59
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.15,2017.18
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,0.2,1657.66
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.01,2761.04
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.03,2647.95
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.05,2170.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.07,2235.45
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.1,1807.81
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.15,1661.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance39_nreq50_nveh2_gamma43.txt,50,0.2,1590.86
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.01,2824.61
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.03,2442.51
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.05,2290.46
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.07,2022.36
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.1,1827.27
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.15,1539.09
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,0.2,1507.06
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.01,3301.75
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.03,2898.24
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.05,2546.84
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.07,2439.32
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.1,2151.77
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.15,1872.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance35_nreq50_nveh2_gamma45.txt,50,0.2,1836.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.01,2987.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.03,3035.55
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.05,2610.31
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.07,2335.12
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.1,2117.92
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.15,2010.81
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance46_nreq50_nveh2_gamma47.txt,50,0.2,1795.54
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.01,2886.19
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.03,2591.12
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.05,2137.96
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.07,2106.95
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.1,1995.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.15,1792.79
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance41_nreq50_nveh2_gamma45.txt,50,0.2,1617.67
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.01,2567.64
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.03,2564.64
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.05,2205.43
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.07,2166.4
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.1,1917.2
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.15,1746.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance47_nreq50_nveh2_gamma42.txt,50,0.2,1520.75
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.01,3002.95
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.03,2835.82
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.05,2547.54
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.07,2223.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.1,1942.67
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.15,1855.5
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance42_nreq50_nveh2_gamma44.txt,50,0.2,1690.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.01,3076.66
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.03,2384.42
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.05,1991.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.07,1948.18
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.1,1864.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.15,1690.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance50_nreq50_nveh2_gamma43.txt,50,0.2,1496.76
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.01,3028.82
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.03,3201.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.05,2585.74
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.07,2312.6
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.1,1830.31
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.15,1693.01
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance60_nreq50_nveh2_gamma45.txt,50,0.2,1696.02
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.01,2942.4
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.03,2602.25
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.05,2570.23
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.07,2241.04
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.1,1937.79
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.15,1838.69
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.2,1737.58
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.01,2883.54
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.03,2947.61
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.05,2735.39
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.07,2084.4
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.1,2039.31
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.15,1985.19
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance53_nreq50_nveh2_gamma44.txt,50,0.2,1670.34
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.01,2890.59
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.03,2856.55
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.05,2309.04
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.07,2160.73
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.1,1920.82
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance55_nreq50_nveh2_gamma40.txt,50,0.15,1649.4
