path,N,T,iters,alpha,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,10,100,0.95,1051.46
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,10,100,0.97,1068.55
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,10,100,0.99,1185.08
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,50,100,0.95,1074.58
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,50,100,0.97,1113.77
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,50,100,0.99,1094.68
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,100,100,0.95,1212.19
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,100,100,0.97,964.954
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance43_nreq50_nveh2_gamma47.txt,50,100,100,0.99,1185.08
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,10,100,0.95,1251.36
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,10,100,0.97,1080.13
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,10,100,0.99,1170.83
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,50,100,0.95,1180.9
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,50,100,0.97,1171.84
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,50,100,0.99,1192.99
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,100,100,0.95,1147.67
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,100,100,0.97,1198.02
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,100,100,0.99,1152.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,10,100,0.95,1086.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,10,100,0.97,1129.48
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,10,100,0.99,1081.1
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,50,100,0.95,1177.83
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,50,100,0.97,1161.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,50,100,0.99,1099.25
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,100,100,0.95,1162.73
