path,N,permutation,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,12,967.759
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,21,903.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,102,969.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,120,925.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,201,1019.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance37_nreq50_nveh2_gamma45.txt,50,210,940.97
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,12,769.32
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,21,799.064
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,102,849.141
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,120,885.766
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,201,741.32
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,210,883.361
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,12,826.53
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,21,960.53
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,102,931.53
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,120,976.53
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,201,873.53
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,210,933.53
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,12,968.135
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,21,897.135
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,102,1026.3
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,120,947.135
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,201,861.135
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance36_nreq50_nveh2_gamma46.txt,50,210,1066.13
