path,N,k1,k2,beam_width,duration,objective
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,5,2,5,599.117,1250.1
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,5,0,5,697.448,1297.24
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,5,1,5,789.714,1211.16
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,5,2,10,1140.02,1245.17
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,5,1,10,1144.23,1260.72
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,5,0,10,1363.7,1269.21
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,10,0,5,2055.39,1215.11
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,10,2,5,2599.2,1197.97
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,10,1,5,2602.95,1197.44
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,10,0,10,3253.34,1218.24
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,10,1,10,3609.83,1151.7
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,10,2,10,4317.77,1156.2
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,15,1,5,4891.62,1198.06
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,15,2,5,4394.19,1121.54
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,15,0,5,5932.85,1245.11
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,15,1,10,8370.13,1158.68
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,15,2,10,8330.32,1093.86
"../instances/50/train/instance16_nreq50_nveh2_gamma43.txt",50,15,0,10,9240.06,1145.82
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,5,0,5,588.745,1397.43
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,5,1,5,651.557,1231.23
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,5,2,5,673.571,1227.72
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,5,2,10,716.702,1278.69
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,5,0,10,1085.35,1260.21
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,5,1,10,1130.59,1231.11
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,10,1,5,1753.84,1174.18
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,10,0,5,2315.25,1247.16
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,10,2,5,2530.36,1122.79
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,10,1,10,4387.41,1168.86
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,15,1,5,4611.65,1162.53
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,10,2,10,4677.3,1113.64
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,10,0,10,5141.42,1201.09
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,15,0,5,5553.05,1242.36
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,15,2,5,5076.22,1127.17
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,15,2,10,7848.48,1121.47
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,15,0,10,9003.7,1172.17
"../instances/50/train/instance19_nreq50_nveh2_gamma43.txt",50,15,1,10,9961.91,1099.4
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,5,2,5,587.893,1402.23
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,5,1,5,605.139,1349.68
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,5,0,5,882.989,1368.16
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,5,0,10,1126.57,1413.65
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,5,2,10,1153.23,1332.38
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,5,1,10,1158.01,1352.79
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,10,2,5,2194.88,1218.25
"../instances/50/train/instance29_nreq50_nveh2_gamma45.txt",50,10,1,5,2465.78,1233.22
