path,N,k1,k2,beam_width,duration,objective
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,5,1,5,580.671,1370.6
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,5,2,5,608.397,1376.74
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,5,0,5,676.117,1473.84
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,5,1,10,1076.76,1364.16
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,5,2,10,1162,1378.26
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,5,0,10,1211.78,1432.85
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,10,1,5,2145.77,1333.81
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,10,0,5,2197.49,1312.52
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,10,2,5,2520.81,1270.22
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,10,1,10,4012.72,1289.86
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,10,2,10,4135.13,1228.07
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,10,0,10,4425.88,1331.55
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,15,1,5,5451.03,1251.05
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,15,2,5,4924.71,1242.73
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,15,0,5,6212.39,1357.32
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,15,2,10,7795.01,1270.99
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,15,1,10,9394.14,1243.66
"../instances/50/train/instance9_nreq50_nveh2_gamma46.txt",50,15,0,10,9733.7,1307.6
"../instances/50/train/instance23_nreq50_nveh2_gamma42.txt",50,5,0,5,490.357,1259.79
"../instances/50/train/instance23_nreq50_nveh2_gamma42.txt",50,5,1,5,500.798,1184.35
"../instances/50/train/instance23_nreq50_nveh2_gamma42.txt",50,5,2,5,614.892,1201.62
"../instances/50/train/instance23_nreq50_nveh2_gamma42.txt",50,5,1,10,852.162,1130.45
