path,N,k,bw1,bw2,duration,objective
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,2,5,5,2407.26,1291.13
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,2,5,10,3155.66,1488.97
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,2,10,10,4865.87,1454.19
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,2,10,5,5224.55,1440.03
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,4,5,5,5287.31,1271.33
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,4,5,10,6084.81,1342.32
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,6,5,5,6479.55,1265.26
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,6,5,10,7563.84,1328.42
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,4,10,5,8216.63,1338.33
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,6,10,5,8259.93,1311.1
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,4,10,10,9191.79,1401.01
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,6,10,10,11647.5,1375.44
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,2,5,5,2672.6,1725.38
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,2,5,10,2994.45,1725.38
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,2,10,5,4297.11,1757.71
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,4,5,10,4637.42,1692.91
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,4,5,5,5101.31,1577.22
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,2,10,10,5197.14,1757.71
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,6,5,5,6515.85,1699.93
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,4,10,5,6943.17,1632.74
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,6,5,10,7141.05,1586.71
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,4,10,10,8844.42,1668.95
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,6,10,10,10333,1745.75
"../instances/50/train/instance1_nreq50_nveh2_gamma50.txt",50,6,10,5,10864.6,1555.8
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,2,5,5,3961.34,1287.24
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,2,5,10,4115.17,1397.39
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,6,5,5,6600.93,1263.66
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,2,10,10,7034.07,1429.56
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,4,5,5,7067.08,1312.05
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,6,5,10,7153.58,1272.89
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,2,10,5,7398.08,1377.69
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,4,5,10,7690.4,1312.05
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,4,10,10,8641.16,1348.5
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,4,10,5,10715.3,1323.32
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,6,10,5,11004.3,1290.74
"../instances/50/train/instance3_nreq50_nveh2_gamma49.txt",50,6,10,10,14325.7,1336.44
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,2,5,5,2764.94,1160.34
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,2,10,5,3463.96,1196.13
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,2,5,10,3564.32,1143.48
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,4,5,5,4339.19,1093.28
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,4,5,10,5233.94,1201.58
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,2,10,10,5659.87,1221.72
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,4,10,5,5748.67,1194.66
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,6,5,5,6136.77,1113.48
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,4,10,10,6233.2,1218.69
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,6,5,10,7459.66,1172.52
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,6,10,5,9266.35,1177.55
"../instances/50/train/instance30_nreq50_nveh2_gamma42.txt",50,6,10,10,10525.3,1233.36
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,2,5,5,2183.82,1533.97
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,2,5,10,3126.53,1533.97
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,2,10,5,4918.37,1566.39
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,4,5,5,5883.97,1499.66
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,4,5,10,6267.35,1523.1
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,2,10,10,6340.55,1686.05
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,6,5,10,6514.05,1564.24
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,4,10,5,7699.44,1531.75
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,6,5,5,8489.27,1469.67
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,6,10,5,10075.1,1586.23
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,4,10,10,10523,1735.58
"../instances/50/train/instance26_nreq50_nveh2_gamma50.txt",50,6,10,10,13863.7,1585.53
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,2,5,5,18984.3,3344.34
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,2,5,10,21749,3522.75
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,4,5,5,23273.1,3442.34
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,4,5,10,31769.2,3471.74
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,2,10,5,33324,3734.21
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,2,10,10,35765.3,3804.42
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,6,5,5,38694.3,3475.02
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,4,10,5,46610.3,3546.36
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,6,5,10,50488.7,3485.13
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,4,10,10,59542.6,3887.74
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,6,10,10,63634.4,3553.8
"../instances/100/train/instance13_nreq100_nveh2_gamma89.txt",100,6,10,5,67848.3,3496.62
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,2,5,5,13061.1,3035.36
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,2,10,5,24518.8,3077.69
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,2,5,10,26784.9,3082.41
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,4,5,10,31858.2,3077.26
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,4,5,5,35215.3,2744.06
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,2,10,10,36019.6,3077.25
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,6,5,5,43172.3,2835.9
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,6,5,10,43263.9,3215.58
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,4,10,5,61175.5,3024.08
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,4,10,10,67693.4,3239.39
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,6,10,5,76392.2,2845.19
"../instances/100/train/instance7_nreq100_nveh2_gamma85.txt",100,6,10,10,89234.7,3157.63
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,2,5,5,22863.2,2980.83
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,2,5,10,27825.2,3265.65
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,2,10,5,39371.1,3192.48
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,4,5,5,42118.3,3074.82
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,2,10,10,43173.8,3590.49
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,4,5,10,47117.1,3270.81
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,4,10,5,56346.8,3334.49
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,6,5,5,59011.5,3004.54
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,4,10,10,62955.4,3593.25
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,6,5,10,65981.4,3494.77
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,6,10,5,84830.4,3182.2
"../instances/100/train/instance8_nreq100_nveh2_gamma86.txt",100,6,10,10,90575.7,3586.53
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,2,5,5,15826.4,3155.01
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,2,5,10,20108.4,3651.88
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,2,10,5,32309.6,3663.16
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,2,10,10,36203.4,3497.41
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,4,5,5,44755.5,3286.63
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,4,5,10,49412,3281.97
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,6,5,5,53606.4,3270.76
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,6,5,10,59721.2,3674.99
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,4,10,5,70475.9,3385.63
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,4,10,10,71211.2,3706.19
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,6,10,5,95790.7,3323.89
"../instances/100/train/instance2_nreq100_nveh2_gamma92.txt",100,6,10,10,96359.9,3550.43
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,2,5,5,15391.9,3603.23
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,2,5,10,27106.4,3634.2
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,2,10,5,38644.9,3692.55
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,4,5,5,41811,3487.79
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,2,10,10,43792.8,4022.57
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,6,5,10,45250.1,3557.87
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,4,5,10,47722.4,3667.66
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,6,5,5,62427.9,3552.84
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,4,10,5,66969.1,3571.85
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,6,10,5,73065.2,3460.45
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,4,10,10,76500,3799.49
"../instances/100/train/instance3_nreq100_nveh2_gamma93.txt",100,6,10,10,80763.5,3670.82
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,2,5,5,41708.1,9319.84
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,2,5,10,45880.6,10256.5
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,4,5,5,53943.5,9447.37
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,4,5,10,64947.3,9792.23
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,6,5,5,69763,9186.66
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,4,10,10,71712.8,9768.16
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,2,10,10,71917,10202.9
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,2,10,5,72802.5,9231.44
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,4,10,5,83360.8,9471.83
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,6,5,10,85431.9,9546.1
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,6,10,5,113252,9149.7
"../instances/200/train/instance8_nreq200_nveh4_gamma182.txt",200,6,10,10,116892,9969.29
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,2,5,5,27226.4,9707.13
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,2,5,10,34404.5,10548.5
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,4,5,5,52577.5,9653.17
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,6,5,5,54330.8,9391.85
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,6,5,10,65641.3,9732.1
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,2,10,10,70935.1,10408.9
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,4,5,10,75001.2,10213.5
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,2,10,5,78003.7,10173.7
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,4,10,5,85257.4,10198.6
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,4,10,10,98903.3,10737.6
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,6,10,5,111342,9987.3
"../instances/200/train/instance3_nreq200_nveh4_gamma180.txt",200,6,10,10,131818,10577.2
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,4,5,5,38306.9,9633.26
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,2,5,5,47512.7,9505.19
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,2,5,10,55090.8,10454
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,4,5,10,66844.5,9866.82
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,2,10,5,76338.4,10051.5
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,4,10,10,77734.2,10541.7
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,6,5,5,89348.7,9520.44
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,2,10,10,90002.6,10066.6
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,4,10,5,91290.3,10032.3
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,6,5,10,100722,10338.6
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,6,10,5,135519,9594.3
"../instances/200/train/instance17_nreq200_nveh4_gamma185.txt",200,6,10,10,152305,10351.6
